,Unnamed: 0,Event1 onset,Event2 onset,Event3 onset,Event4 onset,Trial type,ISI1,ISI2,ISI3,ITI,Event1Dur,Event2Dur,Event3Dur,Event4Dur,cue,stimulus_intensity,cue_image,onset_ITI,onset_ev01,onset_ISI1,onset_ev02,onset_ISI2,onset_ev03,onset_ISI3,onset_ev04
0,0,0.0,2.9144,7.9839,21.393,6.0,1.9,1.1,4.4,8.5,1.0,4.0,9.0,4.0,high_cue,high_stim,h037.png,8.5,9.5,11.4,15.4,16.5,25.5,29.9,33.9
1,1,32.9895,35.9039,48.1134,58.2749,3.0,1.9,8.2,2.3,7.6,1.0,4.0,9.0,4.0,low_cue,high_stim,l044.png,41.5,42.5,44.4,48.4,56.599999999999994,65.6,67.9,71.9
2,2,69.8714,75.9035,82.2074,92.808,6.0,2.0,2.3,1.6,6.0,1.0,4.0,9.0,4.0,high_cue,high_stim,h049.png,77.9,78.9,80.9,84.9,87.2,96.2,97.80000000000001,101.80000000000001
3,3,101.8731,104.7875,109.8569,123.4558,2.0,0.8,1.1,4.6,1.0,1.0,4.0,9.0,4.0,low_cue,med_stim,l035.png,102.80000000000001,103.80000000000001,104.60000000000001,108.60000000000001,109.70000000000002,118.70000000000002,123.30000000000001,127.30000000000001
4,4,128.4558,130.2944,136.5984,150.1972,4.0,0.8,6.3,4.6,3.7,1.0,4.0,9.0,4.0,high_cue,low_stim,h009.png,131.0,132.0,132.8,136.8,143.10000000000002,152.10000000000002,156.70000000000002,160.70000000000002
5,5,157.9381,163.5388,172.0109,183.7832,5.0,1.9,8.5,2.8,6.0,1.0,4.0,9.0,4.0,high_cue,med_stim,h054.png,166.70000000000002,167.70000000000002,169.60000000000002,173.60000000000002,182.10000000000002,191.10000000000002,193.9,197.9
6,6,192.8483,198.4489,203.5184,214.437,3.0,1.9,5.1,3.0,3.7,1.0,4.0,9.0,4.0,low_cue,high_stim,l022.png,201.6,202.6,204.5,208.5,213.6,222.6,225.6,229.6
7,7,222.1779,225.5223,232.1725,244.9818,4.0,0.9,2.7,3.8,1.9,1.0,4.0,9.0,4.0,high_cue,low_stim,h016.png,231.5,232.5,233.4,237.4,240.1,249.1,252.9,256.9
8,8,249.9818,252.8962,259.2001,269.4232,1.0,0.8,6.3,1.2,7.0,1.0,4.0,9.0,4.0,low_cue,low_stim,l056.png,263.9,264.9,265.7,269.7,276.0,285.0,286.2,290.2
9,9,279.4925,284.3063,288.8767,299.0382,5.0,1.5,4.6,2.3,1.8,1.0,4.0,9.0,4.0,high_cue,med_stim,h004.png,292.0,293.0,294.5,298.5,303.09999999999997,312.09999999999997,314.4,318.4
10,10,304.8128,310.4134,321.3391,340.7999,2.0,1.9,6.9,11.6,5.9,1.0,4.0,9.0,4.0,low_cue,med_stim,l047.png,324.29999999999995,325.29999999999995,327.2,331.2,338.09999999999997,347.09999999999997,358.7,362.7
11,11,350.71,356.3106,361.1539,380.6147,1.0,1.9,0.8,11.6,1.0,1.0,4.0,9.0,4.0,low_cue,low_stim,l015.png,363.7,364.7,366.59999999999997,370.59999999999997,371.4,380.4,392.0,396.0
